n,method,time_s
100,LAPACKE_DGBTRF_DGBTRS,0.000014822
100,TRIDIAG_LU_FACTOR,0.000004104
150,LAPACKE_DGBTRF_DGBTRS,0.000016906
150,TRIDIAG_LU_FACTOR,0.000006470
200,LAPACKE_DGBTRF_DGBTRS,0.000023959
200,TRIDIAG_LU_FACTOR,0.000009469
300,LAPACKE_DGBTRF_DGBTRS,0.000040380
300,TRIDIAG_LU_FACTOR,0.000016615
500,LAPACKE_DGBTRF_DGBTRS,0.000082176
500,TRIDIAG_LU_FACTOR,0.000033493
800,LAPACKE_DGBTRF_DGBTRS,0.000129460
800,TRIDIAG_LU_FACTOR,0.000047039
1200,LAPACKE_DGBTRF_DGBTRS,0.000174772
1200,TRIDIAG_LU_FACTOR,0.000069836
2000,LAPACKE_DGBTRF_DGBTRS,0.000260679
2000,TRIDIAG_LU_FACTOR,0.000073568
3500,LAPACKE_DGBTRF_DGBTRS,0.000224530
3500,TRIDIAG_LU_FACTOR,0.000073904
5000,LAPACKE_DGBTRF_DGBTRS,0.000270294
5000,TRIDIAG_LU_FACTOR,0.000103404
7500,LAPACKE_DGBTRF_DGBTRS,0.000405537
7500,TRIDIAG_LU_FACTOR,0.000157663
10000,LAPACKE_DGBTRF_DGBTRS,0.000539707
10000,TRIDIAG_LU_FACTOR,0.000205583
